Date,Hour,Duration,Title
2023-12-31,23:59,0,New Year's Eve
2023-12-25,12:0,60,Christmas
2023-1-24,15:30,120,Diakrita Mathimatika
2023-1-26,15:30,180,Eisagwgi Ston Propgrammatismo Ypologistwn
2023-2-1,15:30,120,Eisagwgi Stin Oikonomiki Epistimi
2023-2-13,15:30,120,Eisagwgi Stin Epistimi Ypologistwn
2023-2-8,15:30,120,Mathimatika I
2023-4-16,00:01,0,Easter
2023-1-7,00:01,0,Feast of Saint John
2023-1-22,00:01,0,Feast of Saint Anastasios
2023-1-21,00:01,0,Global hug day
2023-2-5,00:01,0,World Safer Internet Day
2023-2-5,00:01,0,World Heavy Metal Day
2023-5-15,00:01,0,International Family Day
2023-2-16,00:01,0,Tsiknopempti
2023-2-27,00:01,0,Kathara Deftera
2023-6-5,00:01,0,Agiou Pnevmatos
2023-8-15,00:01,0,Dekapentavgoustos
